Rule ID,N°,Référentiel,Score par défaut,Critère technique,Libellé,Explication
ISCN.ABSENT_IN_REPEAT_ZERO,1_ISCN,ISCN 2024,0,"Avant le scoring, l'analyse des clones repère une anomalie héritée d'un clone précédent mais explicitement absente dans le clone courant. Elle est stockée dans zeroed_reasons avec score_override=0. Le score est donc forcé à 0 et les règles suivantes ne sont pas testées pour cette anomalie.",Absence dans un clone répété,Anomalie indiquée absente dans un clone secondaire et déjà comptée auparavant.
ISCN.ABSENT_IN_REPEAT_IMPLICIT_LOSS,2_ISCN,ISCN 2024,1,"Même mécanisme que ABSENT_IN_REPEAT_ZERO, mais l'anomalie absente est une anomalie structurale dont l'absence est interprétée comme perte chromosomique implicite: der(...), dic(...), add(...) ou certains r(...). Elle est stockée avec score_override=1. Score 1.",Perte implicite dans un clone répété,Absence d'une anomalie structurale interprétée comme perte chromosomique implicite.
ISCN.CONSTITUTIONAL_GAIN,3_ISCN,ISCN 2024,0,"Le code normalise l'anomalie puis teste la regex ^\+\d+c$. En langage courant: le texte doit commencer par '+', contenir ensuite un ou plusieurs chiffres, puis finir par 'c'. Exemple: '+8c'. Le 'c' indique constitutionnel. Cette règle concerne donc un gain chromosomique annoté constitutionnel. Score 0.",Gain constitutionnel,Gain chromosomique annoté constitutionnel.
ISCN.CONSTITUTIONAL_SUSPECT,4_ISCN,ISCN 2024,0,"Le code normalise l'anomalie puis vérifie si le texte finit exactement par '?c'. Le '?' indique une incertitude dans la notation et le 'c' indique constitutionnel; ensemble, le code l'interprète comme suspicion d'anomalie constitutionnelle. Cette règle est séparée pour permettre une explication clinique propre. Score 0.",Suspicion constitutionnelle,Anomalie annotée comme possiblement constitutionnelle.
ISCN.CONSTITUTIONAL_CERTAIN,5_ISCN,ISCN 2024,0,"Le code normalise l'anomalie puis vérifie si le texte finit par 'c', après avoir déjà exclu les cas '+<nombre>c' et '?c'. Cela correspond aux autres anomalies annotées constitutionnelles certaines. Score 0.",Anomalie constitutionnelle certaine,Anomalie annotée constitutionnelle.
ISCN.REPEAT_NOTATION,6_ISCN,ISCN 2024,0,"Le code met le texte en minuscules puis teste les notations qui ne décrivent pas une nouvelle anomalie mais renvoient à un clone précédent. 'idem' est accepté tel quel. La regex ^(?:sl|sdl)\d*$ veut dire: début du texte (^), puis soit 'sl' soit 'sdl' ((?:sl|sdl)), puis éventuellement des chiffres (\d*), puis fin du texte ($). Exemples retenus: sl, sl2, sdl, sdl3. Score 0 car l'anomalie est déjà portée par une notation précédente.",Notation de répétition,Notation idem/sl/sdl déjà portée par un clone précédent.
ISCN.INTERTWINED_DER_BALANCED_SIMPLE,7_ISCN,ISCN 2024,1,"Dans un même clone, le code regroupe au moins trois der(...)/dic(...) qui partagent des chromosomes. Il exige au moins trois chromosomes impliqués, trois ancrages cohérents, et des signatures 'chromosome + point de cassure' retrouvées au moins deux fois et couvrant le groupe. Sans insertion détectée, le groupe équilibré vaut 1.",Dérivés enchevêtrés équilibrés,Groupe de dérivés reliés avec cassures concordantes.
ISCN.INTERTWINED_DER_BALANCED_INSERTION,8_ISCN,ISCN 2024,2,"Même groupe équilibré que INTERTWINED_DER_BALANCED_SIMPLE, mais le code détecte aussi une insertion: présence de ins(...) ou implication d'au moins trois chromosomes dans un composant. Le score est augmenté à 2 pour porter cette complexité additionnelle.",Dérivés enchevêtrés équilibrés avec insertion,Groupe de dérivés reliés avec cassures concordantes et insertion additionnelle.
ISCN.INTERTWINED_DER_UNBALANCED,9_ISCN,ISCN 2024,2,"Même recherche de groupe que INTERTWINED_DER_BALANCED: au moins trois der(...)/dic(...) reliés dans le même clone. Ici, les cassures ne sont pas suffisamment concordantes pour conclure à un équilibre exact. Le code accepte au moins deux signatures de cassure supportées, y compris avec incertitude '?'. Le groupe est alors considéré déséquilibré. Score 2.",Dérivés enchevêtrés déséquilibrés,Groupe de dérivés reliés avec cassures non concordantes.
ISCN.INTERTWINED_DER_PART,10_ISCN,ISCN 2024,0,"Une fois qu'un groupe de dérivés enchevêtrés est détecté, le code choisit la première anomalie du groupe comme porteuse du score. Les autres dérivés du même groupe reçoivent cette règle avec score 0, car ils font partie du même remaniement déjà compté.",Partie d'un remaniement,Dérivé déjà compté dans un remaniement enchevêtré.
